证券代码,证券简称,行业名称,总市值,区间涨跌幅
000610.SZ,西安旅游,消费者服务,"1,901,085,645.03",-12.4318
000611.SZ,ST天首,商贸零售,"966,170,982.92",-25.5208
000612.SZ,焦作万方,有色金属,"8,250,019,806.48",60.4897
000613.SZ,大东海A,消费者服务,"1,308,410,523.20",-29.2359
000615.SZ,奥园美谷,房地产,"5,507,321,248.95",59.1422
000616.SZ,海航投资,房地产,"3,446,864,964.25",-0.823
000617.SZ,中油资本,非银行金融,"84,196,246,666.14",-21.6893
000619.SZ,海螺型材,建材,"2,152,800,000.00",3.9151
000620.SZ,新华联,房地产,"4,665,858,433.20",-39.2593
000622.SZ,恒立实业,综合,"1,692,399,480.00",-16.5618
000623.SZ,吉林敖东,非银行金融,"18,806,379,227.79",-1.1203
000625.SZ,长安汽车,汽车,"100,540,395,729.02",111.665
000626.SZ,远大控股,商贸零售,"6,823,937,518.14",67.1543
000627.SZ,天茂集团,非银行金融,"23,665,613,700.35",-30.6861
000628.SZ,高新发展,建筑,"2,885,173,200.00",-17.0213
000629.SZ,攀钢钒钛,钢铁,"18,811,544,182.38",-25
000630.SZ,铜陵有色,有色金属,"26,421,598,603.08",8.2806
000631.SZ,顺发恒业,房地产,"7,735,410,954.24",4.603
000632.SZ,三木集团,商贸零售,"1,903,975,041.30",-36.7852
000633.SZ,合金投资,有色金属,"1,721,425,487.31",7.971
000635.SZ,英力特,基础化工,"2,342,867,163.46",0.4934
000636.SZ,风华高科,电子,"29,184,599,418.60",118.9389
000637.SZ,茂化实华,石油石化,"2,105,495,191.80",-7.5803
000638.SZ,万方发展,综合,"1,952,314,000.00",27.7328
000639.SZ,西王食品,食品饮料,"6,681,659,908.05",36.6446
000650.SZ,仁和药业,医药,"8,413,628,786.34",-3.2455
000651.SZ,格力电器,家电,"366,177,538,543.86",-3.8986
000652.SZ,泰达股份,综合,"7,894,320,108.20",43.1367
000655.SZ,金岭矿业,钢铁,"4,506,725,541.10",36.8897
000656.SZ,金科股份,房地产,"37,805,187,977.28",-3.4133
000657.SZ,中钨高新,有色金属,"7,306,232,763.06",1.1679
000659.SZ,珠海中富,轻工制造,"3,844,250,534.80",9.9265
000661.SZ,长春高新,医药,"174,313,028,903.00",92.9965
000662.SZ,*ST天夏,计算机,"994,718,937.94",-83.054
000663.SZ,*ST永林,轻工制造,"1,326,534,680.26",-17.9167
000665.SZ,湖北广电,传媒,"4,320,287,501.20",-17.3051
000666.SZ,经纬纺机,非银行金融,"4,186,640,000.00",-28.6836
000667.SZ,美好置业,房地产,"9,201,867,601.09",36.63
000668.SZ,荣丰控股,房地产,"1,832,586,787.20",-6.6107
000669.SZ,*ST金鸿,电力及公用事业,"1,449,270,737.61",-43.2
000670.SZ,*ST盈方,电子,"1,837,411,560.00",5.6338
000671.SZ,阳光城,房地产,"26,493,926,727.65",-22.0109
000672.SZ,上峰水泥,建材,"15,719,135,907.72",9.1738
000673.SZ,*ST当代,传媒,"957,776,034.82",-76.2745
000676.SZ,智度股份,传媒,"7,291,352,942.50",-39.0332
000677.SZ,恒天海龙,基础化工,"2,410,498,474.92",-24.3902
000678.SZ,襄阳轴承,汽车,"2,196,944,389.66",-31.1239
000679.SZ,*ST友谊,商贸零售,"1,012,176,000.00",-20.4482
000680.SZ,山推股份,机械,"4,578,506,284.59",1.0959
000681.SZ,视觉中国,传媒,"8,862,304,565.40",-26.4967
000682.SZ,东方电子,电力设备及新能源,"6,757,264,115.28",0.7968
000683.SZ,远兴能源,基础化工,"8,028,491,830.83",-6.1674
000685.SZ,中山公用,电力及公用事业,"12,140,166,418.73",2.9089
000686.SZ,东北证券,非银行金融,"21,930,043,813.55",1.9297
000687.SZ,*ST华讯,国防军工,"1,248,904,960.06",-75.7079
000688.SZ,国城矿业,有色金属,"11,213,771,236.04",-28.0817
000690.SZ,宝新能源,电力及公用事业,"16,079,811,300.18",36.0388
000691.SZ,亚太实业,房地产,"1,496,740,100.00",15.4613
000692.SZ,惠天热电,电力及公用事业,"1,587,842,268.48",1.3605
000695.SZ,滨海能源,轻工制造,"1,377,314,741.80",-17.1123
000697.SZ,炼石航空,国防军工,"7,226,588,794.84",1.5094
000698.SZ,沈阳化工,石油石化,"3,687,814,777.50",33.9286
000700.SZ,模塑科技,汽车,"4,961,254,863.55",39.9771
000701.SZ,厦门信达,电子,"2,106,126,671.68",-5.2731
000702.SZ,正虹科技,农林牧渔,"1,490,487,279.84",-2.9514
000703.SZ,恒逸石化,石油石化,"43,627,498,072.95",14.4161
000705.SZ,浙江震元,医药,"2,385,640,262.04",8.0153
000707.SZ,ST双环,基础化工,"1,044,327,971.25",-26.9481
000708.SZ,中信特钢,钢铁,"106,747,083,607.95",62.497
000709.SZ,河钢股份,钢铁,"24,210,425,902.56",-11.6279
000710.SZ,贝瑞基因,医药,"13,577,858,570.85",4.6175
000711.SZ,京蓝科技,电力及公用事业,"2,743,429,746.88",-50.7353
000712.SZ,锦龙股份,非银行金融,"13,466,880,000.00",-1.1184
000713.SZ,丰乐种业,农林牧渔,"7,289,234,983.98",96.859
000715.SZ,中兴商业,商贸零售,"2,099,380,647.00",-15.9585
000716.SZ,黑芝麻,食品饮料,"2,455,198,515.00",-20.3133
000717.SZ,韶钢松山,钢铁,"10,210,393,010.20",-7.4093
000718.SZ,苏宁环球,房地产,"9,862,568,248.00",-7.743
000719.SZ,中原传媒,传媒,"6,998,713,643.16",-0.8885
000720.SZ,新能泰山,电力及公用事业,"4,823,294,597.88",-31.3761
000721.SZ,西安饮食,消费者服务,"2,096,034,864.00",1.4493
000722.SZ,湖南发展,电力及公用事业,"3,304,806,967.84",6.2061
000723.SZ,美锦能源,煤炭,"26,099,795,532.80",-32.1315
000725.SZ,京东方A,电子,"191,787,211,359.71",23.6429
000726.SZ,鲁泰A,纺织服装,"4,721,774,807.73",-26.4229
000727.SZ,*ST东科,电子,"11,142,734,770.80",17.7033
000728.SZ,国元证券,非银行金融,"37,179,387,631.32",5.2081
000729.SZ,燕京啤酒,食品饮料,"23,732,101,251.22",29.492
000731.SZ,四川美丰,基础化工,"2,945,592,072.96",-3.4793
000732.SZ,泰禾集团,房地产,"8,213,374,752.00",-46.3415
000733.SZ,振华科技,国防军工,"28,782,782,102.38",226.658
000735.SZ,罗牛山,农林牧渔,"10,294,531,387.32",-11.8502
000736.SZ,中交地产,房地产,"4,638,542,705.63",23.3619
000737.SZ,ST南风,基础化工,"2,661,486,000.00",64.966
000738.SZ,航发控制,国防军工,"25,009,372,478.67",67.5146
000739.SZ,普洛药业,医药,"26,776,053,738.24",76.7507
000750.SZ,国海证券,非银行金融,"29,999,335,582.14",13.6115
000751.SZ,锌业股份,有色金属,"4,737,160,777.44",4.0248
000752.SZ,*ST西发,食品饮料,"1,007,557,435.62",-16.044
000753.SZ,漳州发展,综合,"2,865,380,295.19",-3.3445
000755.SZ,山西路桥,交通运输,"1,604,885,003.82",-13.4177
000756.SZ,新华制药,医药,"4,564,632,013.48",25.5015
000757.SZ,浩物股份,汽车,"2,944,685,283.73",-3.9046
000758.SZ,中色股份,有色金属,"9,827,198,335.76",13.9269
000759.SZ,中百集团,商贸零售,"4,126,990,290.00",-18.0587
000760.SZ,*ST斯太,机械,"1,134,611,603.16",-2
000761.SZ,本钢板材,钢铁,"11,655,667,577.72",-18.5279
000762.SZ,西藏矿业,有色金属,"6,619,612,540.40",70.3753
000766.SZ,通化金马,医药,"3,102,448,009.47",-50.9174
000767.SZ,晋控电力,电力及公用事业,"11,938,535,809.72",59.6708
000768.SZ,中航西飞,国防军工,"92,528,118,272.82",105.4823
000776.SZ,广发证券,非银行金融,"107,747,551,606.75",5.3777
000777.SZ,中核科技,电力设备及新能源,"5,206,810,912.94",12.5032
000778.SZ,新兴铸管,钢铁,"14,606,621,444.16",-8.6623
000779.SZ,甘咨询,建筑,"3,643,566,362.44",-6.4453
000780.SZ,*ST平能,煤炭,"3,641,359,703.16",19.6667
000782.SZ,美达股份,基础化工,"1,684,765,397.37",-8.1085
000783.SZ,长江证券,非银行金融,"44,181,409,134.73",14.5692
000785.SZ,居然之家,商贸零售,"52,819,908,512.91",-17.9778
000786.SZ,北新建材,建材,"62,106,308,271.92",44.9555
000788.SZ,北大医药,医药,"3,665,322,663.75",-7.6577
000789.SZ,万年青,建材,"10,597,096,180.62",14.129
